priority,publication,route,original_date,original_subject,status,next_action
1,VSCRM,ankur@variablesoft.com,2026-07-04,"Guest post submission: CRM lead routing workflow",UNANSWERED_DRAFT_READY,"Review from Himani account"
2,RingCentral UK Blog,allyn.jayawon@ringcentral.com,2026-07-04,"Guest post pitch: keeping customer inquiries from falling through the cracks",UNANSWERED_DRAFT_READY,"Review from Himani account"
3,Crescendo.ai,medha.mehta@crescendo.ai,2026-07-04,"Guest post pitch: AI-assisted lead qualification without messy handoffs",UNANSWERED_DRAFT_READY,"Review from Himani account"
4,Vibetrace,content@vibetrace.com,2026-07-04,"Guest post request",UNANSWERED_DRAFT_READY,"Review from Himani account"
5,Mailercloud,marketing@mailercloud.com,2026-07-04,"Guest post pitch: email automation needs clean CRM data first",UNANSWERED_DRAFT_READY,"Review from Himani account"
6,OutRight Store / OutRight CRM,sales@outrightcrm.com,2026-07-04,"Guest post pitch: CRM lead routing and automation cleanup",UNANSWERED_DRAFT_READY,"Review from Himani account"
7,Magneto IT Solutions,outreach@magnetoitsolutions.com,2026-07-04,"Guest post submission: CRM lead routing after form submission",UNANSWERED_DRAFT_READY,"Review from Himani account"
8,SERP Maestro,info@serpmaestro.com,2026-07-04,"Guest post pitch: CRM cleanup before marketing automation",UNANSWERED_DRAFT_READY,"Review from Himani account"
9,Postalytics,marketing@postalytics.com,2026-07-04,"Guest post idea for Postalytics: direct mail responses into CRM follow-up",UNANSWERED_DRAFT_READY,"Review from Himani account"
10,HuntMeLeads,guestposting@huntmeleads.com,2026-07-04,"Guest post pitch: lead follow-up workflows after capture",UNANSWERED_DRAFT_READY,"Review from Himani account"
11,SeeResponse,editor@seeresponse.com,2026-07-04,"Guest post pitch: CRM lead routing and follow-up workflows",UNANSWERED_DRAFT_READY,"Review from Himani account"
12,SEO SMO Company,info@seosmocompany.com,2026-07-04,"Guest post submission: CRM lead routing after form submission",UNANSWERED_DRAFT_READY,"Review from Himani account"
13,Convert.com,Google Form,2026-07-04,"Why Content Leads Leak After Conversion",UNANSWERED_NO_SAFE_REPLY_ROUTE,"Verify public editorial route"
14,StoryChief,Google Form,2026-07-04,"Why Content Leads Leak When Marketing And CRM Workflows Are Disconnected",UNANSWERED_NO_SAFE_REPLY_ROUTE,"Verify public editorial route"
15,Brevo,Typeform,2026-07-04,"Why Marketing Automation Needs Clean Contact Data Before More Campaigns",UNANSWERED_NO_SAFE_REPLY_ROUTE,"Verify public editorial route"
16,TechiesBuzz,miskaeducation@gmail.com,2026-07-04,"Guest post submission: CRM lead routing workflow guide",DISQUALIFIED_PAID_PLACEMENT,"No reply and no payment"
