priority,company,delivery_class,delivery_route,target_contact_or_role,website,source_url,pain_signal,offer_angle,approved_for_gmail_draft,blocked
High,OpenLoop Health,ROUTE_NEEDED,Contact form or LinkedIn,Revenue Systems / GTM Systems leader,https://openloophealth.com,https://www.ziprecruiter.com/c/OpenLoop-Health/Job/Director-of-Revenue-Systems-%26-AI/-in-Remote%2CUS?jid=bc7f1c1a2b8a2776,"Hiring around Salesforce, HubSpot, GTM stack, AI, automation, CRM adoption, and data quality","Salesforce-HubSpot workflow cleanup before systems hire ramps",No,No
High,MuniBilling,EMAIL_READY,support@munibilling.com,RevOps / sales operations owner,https://www.munibilling.com,https://revpath.dealhub.io/jobs/502805538-revenue-operations-specialist,"Role references CRM admin, data quality, reporting accuracy, Salesforce/HubSpot workflow maintenance, dashboards, CRM hygiene, and adoption","CRM hygiene and dashboard/reporting cleanup",Yes,No
High,Prophix,ROUTE_NEEDED,Contact form or LinkedIn,Nick Slater / Revenue Operations Systems leader,https://www.prophix.com,https://ca.linkedin.com/jobs/view/senior-revenue-operations-systems-analyst-at-prophix-4407936971,"Role references revenue tech stack, Salesforce, automation, validation logic, system configuration, reporting, and data infrastructure","Salesforce/revenue tech stack support and documentation sprint",No,No
High,ChargeLab,EMAIL_READY,sales@chargelab.co or hello@chargelab.co,Ariel Maidansky / Head of Growth,https://chargelab.co,https://jobsatventurestudios.com/discover/companies/chargelab/jobs/62445607-revenue-operations-specialist,"Role references CRM management, data integrity, acquisition, cross-functional alignment, and revenue performance","Growth/RevOps workflow cleanup around acquisition and CRM data integrity",Yes,No
High,Leadership Connect,ROUTE_NEEDED,LinkedIn or contact form,Marketing operations / demand generation leader,https://www.leadershipconnect.io,https://remote.com/jobs/leadership-connect-c1wpm0y5/marketing-operations-manager-j1uthrub,"Role references HubSpot, Salesforce, digital channels, reporting, campaign operations, and marketing automation","HubSpot-Salesforce marketing ops cleanup",No,No
High,FMG,ROUTE_NEEDED,LinkedIn or people team route,RevOps / HubSpot systems leader,https://fmgsuite.com,https://fmgsuite.applytojob.com/apply/33HLpysKHe/RevOps-Technical-Specialist-Remote,"Role references building in HubSpot, Chargebee CPQ, enablement, reporting, and revenue motion","HubSpot workflow support and RevOps technical cleanup",No,No
High,ContactMonkey,ROUTE_NEEDED,LinkedIn or contact form,Daniel Marcus / RevOps leader,https://www.contactmonkey.com,https://job-boards.greenhouse.io/contactmonkey/jobs/4686097006,"GTM Engineer role references revenue engine, GTM tools, integrations, automation, data hygiene, lead/account distribution, Salesforce, HubSpot, and revenue visibility","GTM systems automation and lead/account distribution support",No,No
High,Lee Enterprises,ROUTE_NEEDED,LinkedIn or company route,CRM / revenue operations leader,https://lee.net,https://www.linkedin.com/jobs/view/crm-revenue-operations-specialist-at-lee-enterprises-4418260481,"Role references HubSpot CRM administration, workflow automation, data management, reporting, and process improvement","HubSpot CRM workflow cleanup for media sales/revenue operations",No,No
High,Popl,ROUTE_NEEDED,LinkedIn to CRO/RevOps hiring owner,Dieter Heren III / CRO or RevOps hiring owner,https://popl.co,https://builtin.com/job/head-revenue-operations/9651232,"Role references Salesforce, GTM tech stack, forecasting, pipeline analytics, data hygiene, and full-funnel RevOps","Salesforce/GTM systems cleanup before Head of RevOps hire",No,No
High,atVenu,ROUTE_NEEDED,LinkedIn or contact form,Revenue Operations / GTM systems leader,https://www.atvenu.com,https://revpath.dealhub.io/jobs/390452702-revenue-operations-manager,"Role references primary admin for HubSpot and Salesforce, data integrity, user hygiene, configuration, integrations, and documentation","HubSpot-Salesforce integration and documentation cleanup",No,No
High,Canals,ROUTE_NEEDED,LinkedIn or contact form,Revenue operations / founder team,https://www.joincanals.com,https://jobs.ashbyhq.com/canals/0e3bc5a4-31f4-44ec-afc9-0b80cf383ed1,"Role references deep CRM ownership, HubSpot/Salesforce, pipeline management, account data, and GTM systems","CRM cleanup and RevOps foundation before director hire",No,No
High,Vim,ROUTE_NEEDED,LinkedIn or contact form,RevOps / GTM operations leader,https://getvim.com,https://job-boards.greenhouse.io/vim/jobs/7938820,"Role references CRM ownership, data hygiene, AI/automation, ticket queues, production automations, n8n/Zapier/Make/Workato, and outbound tools","CRM automation cleanup and n8n-style workflow support",No,No
High,Netomi,ROUTE_NEEDED,LinkedIn or contact form,CRO / RevOps leader,https://www.netomi.com,https://jobs.lever.co/netomi/a4c8132d-db33-433a-8490-80f074a8d00d,"Role references CRM/GTM systems, data quality, process design, workflow automation, system governance, pipeline, forecasting, and reporting","GTM systems governance and workflow cleanup",No,No
