company,website,named_contact,role,classification,route_summary,pain_signal
Clio,https://www.clio.com/,Jack Newton,CEO and Founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"Marketing Operations hiring mentions HubSpot, Salesforce Marketing Cloud, Dynamics, Salesforce, lifecycle and automation complexity."
StackAdapt,https://www.stackadapt.com/,Vitaly Pecherskiy,CEO and Co-founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"Marketing Operations hiring mentions HubSpot, Salesforce, MAP-to-CRM syncs, process audits, and data-flow ownership."
Kindsight,https://kindsight.io/,Julia Stead,Chief Marketing Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"Marketing Operations hiring mentions HubSpot administration, Salesforce fields, UTMs, enrichment, attribution, and downstream data-flow reliability."
EvenUp,https://www.evenuplaw.com/,Rami Karabibar,CEO and Co-founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"Senior Revenue Operations hiring mentions marketing automation, HubSpot, SFDC integration, routing, and attribution."
EnergyHub,https://www.energyhub.com/,Erika Diamond,SVP and Chief Revenue Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"GTM growth and revenue systems motion suggests need for CRM routing, reporting, and process visibility."
Wagepoint,https://www.wagepoint.com/,Alexander Goncalves,Chief Commercial Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"Revenue Operations Lead hiring mentions hands-on HubSpot workflow ownership."
ContactMonkey,https://www.contactmonkey.com/,Daniel Marcus,VP Revenue Operations,ROUTE_NEEDED,LinkedIn/contact-form route only,"GTM Engineer role mentions Salesforce, HubSpot, integrations, automation, data hygiene, lead/account distribution, and revenue visibility."
Maze,https://maze.co/,Jonathan Widawski,Co-founder and CEO,ROUTE_NEEDED,LinkedIn/contact-form route only,"Senior Revenue Operations Manager hiring mentions Salesforce, HubSpot, Clay, Outreach, Gong, enrichment, AI-first workflows, and data governance."
Wasabi Technologies,https://wasabi.com/,David Friend,"President, CEO and Co-founder",GENERIC_ONLY,Generic inbox only; not send-ready,"Senior Salesforce Administrator hiring mentions CPQ, usage-based billing, revenue workflows, integrations, data issues, manual gaps, and automation."
Spire Global,https://spire.com/,Theresa Condor,Chief Executive Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"Senior GTM Ops hiring mentions Salesforce, HubSpot, revenue analytics, forecasting, dashboards, and AI-driven insights."
Samba TV,https://www.samba.tv/,Ashwin Navin,CEO and Co-founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"GTM Systems Administrator hiring mentions HubSpot, Salesforce, Marketing Ops data flow, tickets, integrations, and automation."
HHAeXchange,https://www.hhaexchange.com/,Paul Joiner,Chief Executive Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"GTM Operations role mentions Salesforce, data governance, reporting, workflows, CPQ, SalesLoft, and HubSpot-style sales engagement."
HopSkipDrive,https://www.hopskipdrive.com/,Joanna Newman McFarland,Co-founder and CEO,ROUTE_NEEDED,LinkedIn/contact-form route only,"Ops-heavy marketplace motion suggests CRM workflow, routing, and reporting complexity."
Saviynt,https://saviynt.com/,Sachin Nayyar,"Founder, CEO and Chairman",ROUTE_NEEDED,LinkedIn/contact-form route only,"Enterprise SaaS GTM motion suggests Salesforce/revenue operations process and data governance needs."
CaptivateIQ,https://www.captivateiq.com/,Mark Schopmeyer,Co-CEO and Co-founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"Revenue workflow and sales compensation product category overlaps with CRM data, handoffs, and reporting trust pain."
Nextech,https://www.nextech.com/,Rusty Frantz,Chief Executive Officer,ROUTE_NEEDED,LinkedIn/contact-form route only,"Healthcare SaaS GTM and operational systems suggest Salesforce/CRM workflow and reporting needs."
QuickNode,https://www.quicknode.com/,Dmitry Shklovsky,Co-founder,ROUTE_NEEDED,LinkedIn/contact-form route only,"Developer infrastructure GTM motion suggests BDR workflow, enrichment, CRM writeback, and revenue systems needs."
Lightspeed,https://www.lightspeedhq.com/,Dax Dasilva,Founder and CEO,ROUTE_NEEDED,LinkedIn/contact-form route only,"Growth Marketing hiring mentions Salesforce, HubSpot/Marketo, BigQuery, Fivetran, Looker, GA4, Clay, and RevOps signals."
D2L,https://www.d2l.com/,John Baker,"President, CEO and Board Chair",ROUTE_NEEDED,LinkedIn/contact-form route only,"Enterprise education sales motion suggests marketing/BDR operations and CRM routing/follow-up complexity."
Clearco,https://clear.co/,Andrew Curtis,CEO and Director,ROUTE_NEEDED,LinkedIn/contact-form route only,"Fintech/SMB funding motion suggests growth systems, source tracking, CRM follow-up, and lifecycle visibility needs."
