id,publish_date,channel,caption,status,image_url,linkedin_actor_urn,facebook_page_id,instagram_business_account_id
2026-07-07-lead-followup-himani-linkedin,2026-07-07,linkedin_profile,"Most businesses do not need more leads first. They need fewer leads falling through the cracks after the first reply.

A clean follow-up system gives every inquiry an owner, stage, source, and next action.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-company-linkedin,2026-07-07,linkedin_company,"Leads should not depend on memory. Emergent Logic connects form fills, CRM records, routing, tasks, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-facebook,2026-07-07,facebook,"Leads should not depend on memory. Emergent Logic connects form fills, CRM records, routing, tasks, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-instagram,2026-07-07,instagram,The form is not the finish line. It is the handoff point.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_portrait.png,,,
2026-07-08-crm-cleanup-himani-linkedin,2026-07-08,linkedin_profile,"Automation only works when the data underneath it is trustworthy.

If lifecycle stages, owners, duplicates, and source fields are messy, speed becomes noise.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-company-linkedin,2026-07-08,linkedin_company,"CRM cleanup helps teams trust the system before adding more workflows, dashboards, or campaigns.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-facebook,2026-07-08,facebook,"CRM cleanup helps teams trust the system before adding more workflows, dashboards, or campaigns.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-instagram,2026-07-08,instagram,Clean first. Automate second. Scale third.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_portrait.png,,,
2026-07-09-hubspot-workflows-himani-linkedin,2026-07-09,linkedin_profile,"HubSpot makes workflows easy to create. That is powerful, and also risky.

Old enrollment rules, duplicate automations, and stale lists can quietly break follow-up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-company-linkedin,2026-07-09,linkedin_company,"We help teams audit HubSpot workflows, lifecycle logic, forms, lists, and handoffs so automation stays reliable.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-facebook,2026-07-09,facebook,"We help teams audit HubSpot workflows, lifecycle logic, forms, lists, and handoffs so automation stays reliable.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-instagram,2026-07-09,instagram,"If nobody can explain the workflow, it is time to clean it up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_portrait.png,,,
2026-07-10-salesforce-admin-himani-linkedin,2026-07-10,linkedin_profile,"Salesforce usually does not break in one big moment.

It gets harder to trust through small changes nobody had time to clean up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-company-linkedin,2026-07-10,linkedin_company,"Emergent Logic supports Salesforce cleanup, admin support, reporting hygiene, and safe automation improvements.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-facebook,2026-07-10,facebook,"Emergent Logic supports Salesforce cleanup, admin support, reporting hygiene, and safe automation improvements.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-instagram,2026-07-10,instagram,Your CRM should not feel like a mystery box.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_portrait.png,,,
2026-07-13-website-to-crm-himani-linkedin,2026-07-13,linkedin_profile,"The website can look professional and still lose revenue if the inquiry lands in an inbox with no owner or next step.

The handoff matters.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-13_website-to-crm_square.png,,,
